,word,frequency
17710,"limitations L IH M IH T EY SH AH N Z
",28
17711,"limited L IH M AH T AH D
",106
17712,"limiting L IH M AH T IH NG
",11
17713,"limitless L IH M AH T L AH S
",1
17714,"limits L IH M AH T S
",41
17715,"limousine L IH M AH Z IY N
",4
17716,"limousines L IH M AH Z IY N Z
",1
17717,"limp L IH M P
",12
17718,"limped L IH M P T
",2
17719,"limping L IH M P IH NG
",2
17720,"limps L IH M P S
",1
17721,"lincoln L IH NG K AH N
",47
17722,"lincoln's L IH NG K AH N Z
",5
17723,"linda L IH N D AH
",42
17724,"linda's L IH N D AH Z
",3
17725,"lindemann L IH N D AH M AH N
",3
17726,"linden L IH N D AH N
",7
17727,"lindsay L IH N D Z IY
",2
17728,"lindsey's L IH N D Z IY Z
",1
17729,"lindskog L IH N D S K AH G
",1
17730,"lindy L IH N D IY
",1
17731,"line L AY N
",298
17732,"lineage L IH N IY AH JH
",2
17733,"lineages L IH N IY IH JH IH Z
",1
17734,"lineal L IH N IY AH L
",1
17735,"linear L IH N IY ER
",21
17736,"linearly L IH N IY ER L IY
",4
17737,"lineback L AY N B AE K
",2
17738,"linebackers L AY N B AE K ER Z
",1
17739,"lined L AY N D
",16
17740,"lineman L AY N M AH N
",1
17741,"linen L IH N AH N
",6
17742,"liner L AY N ER
",4
17743,"liners L AY N ER Z
",2
17744,"lines L AY N Z
",198
17745,"lineup L AY N AH P
",3
17746,"linger L IH NG G ER
",7
17747,"lingered L IH NG G ER D
",2
17748,"lingerie L AA N ZH ER EY
",2
17749,"lingering L IH NG G ER IH NG
",5
17750,"lingers L IH NG G ER Z
",2
17751,"lingo L IH NG G OW
",3
17752,"linguist L IH NG G W IH S T
",13
17753,"linguistic L IH NG G W IH S T IH K
",10
17754,"linguistically L IH NG G W IH S T IH K L IY
",1
17755,"linguistics L IH NG G W IH S T IH K S
",5
17756,"linguists L IH NG G W IH S T S
",11
17757,"lining L AY N IH NG
",2
17758,"link L IH NG K
",16
17759,"linkage L IH NG K AH JH
",3
17760,"linked L IH NG K T
",16
17761,"linking L IH NG K IH NG
",6
17762,"links L IH NG K S
",7
17763,"linoleum L AH N OW L IY AH M
",1
17764,"lint L IH N T
",4
17765,"linus L AY N AH S
",1
17766,"linville L IY N V IH L
",1
17767,"linz L IH N Z
",1
17768,"lion L AY AH N
",17
17769,"lion's L AY AH N Z
",2
17770,"lionel L AY AH N AH L
",2
17771,"lionized L AY AH N AY Z D
",2
17772,"lions L AY AH N Z
",6
17773,"lions' L AY AH N Z
",1
17774,"lip L IH P
",18
17775,"lippi L IH P IY
",1
17776,"lippincott L IH P IH N K AH T
",1
17777,"lippman L IH P M AH N
",2
17778,"lippmann L IH P M AH N
",3
17779,"lips L IH P S
",69
17780,"lipson L IH P S AH N
",1
17781,"lipstick L IH P S T IH K
",3
17782,"lipton L IH P T AH N
",5
17783,"liqueur L IH K ER
",1
17784,"liquid L IH K W AH D
",48
17785,"liquidated L IH K W IH D EY T IH D
",5
17786,"liquidating L IH K W IH D EY T IH NG
",1
17787,"liquidation L IH K W IH D EY SH AH N
",12
17788,"liquidations L IH K W IH D EY SH AH N Z
",1
17789,"liquidity L IH K W IH D AH T IY
",1
17790,"liquids L IH K W AH D Z
",6
17791,"liquor L IH K ER
",43
17792,"lisa L IY S AH
",4
17793,"lisbon L IH Z B AH N
",1
17794,"lise L AY Z
",1
17795,"lisle L AY AH L
",1
17796,"liss L IH S
",1
17797,"lissa L IH S AH
",2
17798,"list L IH S T
",133
17799,"listed L IH S T AH D
",44
17800,"listen L IH S AH N
",51
17801,"listened L IH S AH N D
",30
17802,"listener L IH S AH N ER
",10
17803,"listeners L IH S AH N ER Z
",20
17804,"listening L IH S AH N IH NG
",39
17805,"listens L IH S AH N Z
",2
17806,"listing L IH S T IH NG
",7
17807,"listings L IH S T IH NG Z
",1
17808,"listless L IH S T L AH S
",1
17809,"listlessly L IH S T L AH S L IY
",1
17810,"liston L IH S T AH N
",6
17811,"lists L IH S T S
",34
17812,"lit L IH T
",17
17813,"liter L IY T ER
",2
17814,"literal L IH T ER AH L
",15
17815,"literally L IH T ER AH L IY
",27
17816,"literary L IH T ER EH R IY
",78
17817,"literate L IH T ER AH T
",3
17818,"literature L IH T ER AH CH ER
",133
17819,"liters L IY T ER Z
",2
17820,"lithe L AY DH
",4
17821,"lithograph L IH TH AH G R AE F
",1
17822,"lithographs L IH TH AH G R AE F S
",1
17823,"litigant L IH T IH G AH N T
",2
17824,"litigants L IH T IH G AH N T S
",3
17825,"litigation L IH T AH G EY SH AH N
",13
17826,"litle L AY T AH L
",1
17827,"litter L IH T ER
",3
17828,"littered L IH T ER D
",4
17829,"littering L IH T ER IH NG
",1
17830,"litters L IH T ER Z
",3
17831,"little L IH T AH L
",831
17832,"littlepage L IH T AH L P EY JH
",10
17833,"littlest L IH T AH L AH S T
",1
17834,"liturgical L AH T ER JH IH K AH L
",2
17835,"litz L IH T S
",2
17836,"livable L IH V AH B AH L
",1
17837,"live L AY V
",177
17838,"lived L IH V D
",115
17839,"livelier L AY V L IY ER
",2
17840,"livelihood L AY V L IY HH UH D
",5
17841,"liveliness L AY V L IY N AH S
",2
17842,"lively L AY V L IY
",26
17843,"liver L IH V ER
",16
17844,"liveried L IH V R IY D
",1
17845,"livermore L IH V ER M AO R
",1
17846,"liverpool L IH V ER P UW L
",2
17847,"livers L IH V ER Z
",1
17848,"livery L IH V ER IY
",5
17849,"lives L IH V Z
",81
17850,"livestock L AY V S T AA K
",19
17851,"livid L IH V IH D
",1
17852,"living L IH V IH NG
",194
17853,"livingston L IH V IH NG S T AH N
",1
17854,"liz L IH Z
",1
17855,"lizard's L IH Z ER D Z
",1
17856,"lizards L IH Z ER D Z
",1
17857,"lizzie L IH Z IY
",17
17858,"lizzy L IH Z IY
",2
17859,"llewellyn L UW EH L IH N
",1
17860,"lloyd L OY D
",10
17861,"lloyd's L OY D Z
",3
17862,"lo L OW
",22
17863,"load L OW D
",45
17864,"loaded L OW D IH D
",22
17865,"loader L OW D ER
",1
17866,"loaders L OW D ER Z
",1
17867,"loading L OW D IH NG
",11
17868,"loadings L OW D IH NG Z
",5
17869,"loads L OW D Z
",10
17870,"loaf L OW F
",4
17871,"loan L OW N
",46
17872,"loaned L OW N D
",4
17873,"loans L OW N Z
",32
17874,"loath L OW TH
",3
17875,"loathed L OW DH D
",4
17876,"loathing L OW TH IH NG
",2
17877,"loathsome L OW DH S AH M
",4
17878,"loaves L OW V Z
",3
17879,"lob L AA B
",1
17880,"lobbied L AA B IY D
",1
17881,"lobbies L AA B IY Z
",1
17882,"lobby L AA B IY
",20
17883,"lobe L OW B
",3
17884,"lobes L OW B Z
",5
17885,"loblolly L AA B L AA L IY
",1
17886,"lobo L OW B OW
",1
17887,"lobster L AA B S T ER
",1
17888,"lobules L AA B Y UW L Z
",2
17889,"local L OW K AH L
",288
17890,"locale L OW K AE L
",3
17891,"locales L OW K AE L Z
",4
17892,"localities L OW K AE L IH T IY Z
",4
17893,"locality L OW K AE L AH T IY
",5
17894,"localization L OW K AH L AH Z EY SH AH N
",2
17895,"localize L OW K AH L AY Z
",1
17896,"localized L OW K AH L AY Z D
",1
17897,"locally L OW K AH L IY
",11
17898,"locate L OW K EY T
",16
17899,"located L OW K EY T AH D
",64
17900,"locating L OW K EY T IH NG
",11
17901,"location L OW K EY SH AH N
",63
17902,"locations L OW K EY SH AH N Z
",18
17903,"lock L AA K
",24
17904,"locked L AA K T
",30
17905,"locker L AA K ER
",9
17906,"lockheed L AA K HH IY D
",3
17907,"lockheed's L AA K HH IY D Z
",1
17908,"locking L AA K IH NG
",31
17909,"locks L AA K S
",7
17910,"lockup L AA K AH P
",2
17911,"locomotive L OW K AH M OW T IH V
",2
17912,"locomotives L OW K AH M OW T IH V Z
",1
17913,"locus L OW K AH S
",2
17914,"locust L OW K AH S T
",6
17915,"lodge L AA JH
",19
17916,"lodged L AA JH D
",1
17917,"lodges L AA JH AH Z
",2
17918,"lodging L AA JH IH NG
",5
17919,"lodgings L AA JH IH NG Z
",2
17920,"lodley L AA D L IY
",2
17921,"loeb L OW B
",1
17922,"loeser L OW Z ER
",1
17923,"loesser L EH S ER
",3
17924,"loewe L AA UW
",1
17925,"loft L AO F T
",2
17926,"lofty L AO F T IY
",5
17927,"log L AO G
",11
17928,"logan L OW G AH N
",2
17929,"logarithm L AA G ER IH DH AH M
",1
17930,"logarithms L AA G ER IH DH AH M Z
",1
17931,"logged L AO G D
",2
17932,"logger L AA G ER
",1
17933,"logging L AO G IH NG
",5
17934,"logic L AA JH IH K
",17
17935,"logical L AA JH IH K AH L
",34
17936,"logically L AA JH IH K L IY
",12
17937,"logistic L AH JH IH S T IH K
",2
17938,"logistical L AH JH IH S T IH K AH L
",1
17939,"logistics L AH JH IH S T IH K S
",4
17940,"logs L AO G Z
",8
17941,"loin L OY N
",1
17942,"loincloth L OY N K L AO TH
",1
17943,"loire L OY R
",1
17944,"lois L OW AH S
",2
17945,"lola L OW L AH
",3
17946,"lolling L AA L IH NG
",1
17947,"lolly L AA L IY
",3
17948,"lombard L AA M B AA R D
",1
17949,"london L AH N D AH N
",89
17950,"london's L AH N D AH N Z
",3
17951,"londonderry L AH N D AH N D EH R IY
",2
17952,"londoner L AH N D AH N ER
",1
17953,"lone L OW N
",8
17954,"loneliness L OW N L IY N AH S
",9
17955,"lonely L OW N L IY
",25
17956,"loners L OW N ER Z
",1
17957,"lonesome L OW N S AH M
",2
17958,"long L AO NG
",752
17959,"long-distance L AO NG D IY S T AH N S
",2
17960,"long-overdue L AO NG OW V ER D UW
",1
17961,"long-range L AO NG R EY N JH
",42
17962,"long-term L AO NG T ER M
",32
17963,"longed L AO NG D
",7
17964,"longer L AO NG G ER
",193
17965,"longest L AO NG G AH S T
",6
17966,"longevity L AO N JH EH V AH T IY
",2
17967,"longfellow L AO NG F EH L OW
",1
17968,"longhand L AO NG HH AE N D
",2
17969,"longhorn L AO NG HH AO R N
",4
17970,"longhorns L AO NG HH AO R N Z
",5
17971,"longing L AO NG IH NG
",10
17972,"longings L AO NG IH NG Z
",2
17973,"longish L AO NG IH SH
",1
17974,"longitude L AA N JH AH T UW D
",1
17975,"longitudes L AA N JH AH T UW D Z
",1
17976,"longitudinal L AA N JH AH T UW D AH N AH L
",1
17977,"longs L AO NG Z
",1
17978,"longshoremen L AO NG SH AO R M IH N
",1
17979,"longshoremen's L AO NG SH AO R M IH N Z
",1
17980,"longshot L AO NG SH AA T
",1
17981,"longstanding L AO NG S T AE N D IH NG
",3
17982,"longstreet L AO NG S T R IY T
",2
17983,"longtime L AO NG T AY M
",1
17984,"longwood L AO NG W UH D
",1
17985,"lonsdale L AA N S D EY L
",3
17986,"look L UH K
",399
17987,"looked L UH K T
",367
17988,"looking L UH K IH NG
",173
17989,"lookit L UH K IH T
",3
17990,"lookout L UH K AW T
",2
17991,"looks L UH K S
",78
17992,"lookup L UH K AH P
",7
17993,"loom L UW M
",6
17994,"loomed L UW M D
",3
17995,"looming L UW M IH NG
",10
17996,"loomis L UW M IH S
",4
17997,"looms L UW M Z
",2
17998,"loon L UW N
",2
17999,"loop L UW P
",21
18000,"looped L UW P T
",1
18001,"loophole L UW P HH OW L
",2
18002,"loopholes L UW P HH OW L Z
",2
18003,"loops L UW P S
",1
18004,"loose L UW S
",53
18005,"loosely L UW S L IY
",12
18006,"loosen L UW S AH N
",3
18007,"loosened L UW S AH N D
",4
18008,"loosening L UW S AH N IH NG
",1
18009,"loosens L UW S AH N Z
",1
18010,"loot L UW T
",3
18011,"looted L UW T AH D
",3
18012,"looting L UW T IH NG
",3
18013,"lop L AA P
",1
18014,"lope L OW P
",2
18015,"loper L OW P ER
",3
18016,"lopez L OW P EH Z
",2
18017,"lopped L AA P T
",1
18018,"loquacious L OW K W EY SH AH S
",2
18019,"lorain L ER EY N
",1
18020,"lord L AO R D
",93
18021,"lord's L AO R D Z
",12
18022,"lordly L AO R D L IY
",2
18023,"lords L AO R D Z
",3
18024,"lordship L AO R D SH IH P
",3
18025,"lore L AO R
",7
18026,"lorelei L AO R IH L AY
",1
18027,"loren L AO R AH N
",1
18028,"lorena L AO R EH N AH
",1
18029,"lorenz L ER EH N T S
",2
18030,"lorraine L ER EY N
",1
18031,"los L OW S
",51
18032,"lose L UW Z
",58
18033,"loser L UW Z ER
",1
18034,"losers L UW Z ER Z
",1
18035,"loses L UW Z AH Z
",15
18036,"losing L UW Z IH NG
",28
18037,"loss L AO S
",86
18038,"losses L AO S AH Z
",46
18039,"lost L AO S T
",173
18040,"lot L AA T
",127
18041,"lotion L OW SH AH N
",8
18042,"lotions L OW SH AH N Z
",1
18043,"lots L AA T S
",42
18044,"lotte L AA T
",1
18045,"lottery L AA T ER IY
",1
18046,"lottie L AA T IY
",1
18047,"lotus L OW T AH S
",1
18048,"lou L UW
",13
18049,"loud L AW D
",20
18050,"louder L AW D ER
",12
18051,"loudest L AW D AH S T
",4
18052,"loudly L AW D L IY
",17
18053,"loudspeaker L AW D S P IY K ER
",1
18054,"loudspeakers L AW D S P IY K ER Z
",2
18055,"louis L UW IH S
",73
18056,"louis' L UW IH S
",1
18057,"louis's L UW IH S IH Z
",2
18058,"louisa L UW IY Z AH
",1
18059,"louise L UW IY Z
",5
18060,"louisiana L UW IY Z IY AE N AH
",30
18061,"louisville L UW IY V IH L
",6
18062,"lounge L AW N JH
",9
18063,"lounges L AW N JH IH Z
",1
18064,"lounging L AW N JH IH NG
",4
18065,"louse L AW S
",3
18066,"loused L AW Z D
",1
18067,"lousiness L AW Z IY N AH S
",1
18068,"lousy L AW Z IY
",12
18069,"louvre L UW V R AH
",2
18070,"lovable L AH V AH B AH L
",2
18071,"love L AH V
",231
18072,"love's L AH V Z
",2
18073,"loved L AH V D
",56
18074,"lovejoy L AH V JH OY
",3
18075,"lovelace L AH V L EY S
",1
18076,"loveless L AH V L AH S
",5
18077,"lovely L AH V L IY
",44
18078,"lover L AH V ER
",19
18079,"lover's L AH V ER Z
",1
18080,"lovering L AH V ER IH NG
",2
18081,"lovers L AH V ER Z
",10
18082,"lovers' L AH V ER Z
",1
18083,"loves L AH V Z
",19
18084,"lovett L AH V IH T
",1
18085,"lovie L AH V IY
",1
18086,"lovin L OW V IH N
",1
18087,"loving L AH V IH NG
",15
18088,"lovingly L AH V IH NG L IY
",1
18089,"lovingood L AA V IH NG G UH D
",1
18090,"low L OW
",173
18091,"low-cost L OW K AO S T
",6
18092,"low-level L OW L EH V AH L
",2
18093,"lowdown L OW D AW N
",1
18094,"lowe L OW
",1
18095,"lowe's L OW Z
",1
18096,"lowell L OW AH L
",6
18097,"lower L OW ER
",123
18098,"lowered L OW ER D
",21
18099,"lowering L OW ER IH NG
",5
18100,"lowers L OW ER Z
",1
18101,"lowest L OW AH S T
",13
18102,"lowlands L OW L AE N D Z
",1
18103,"lowly L OW L IY
",1
18104,"lown L AW N
",1
18105,"lows L OW Z
",1
18106,"loy L OY
",1
18107,"loyal L OY AH L
",18
18108,"loyalist L OY AH L IH S T
",2
18109,"loyalists L OY AH L IH S T S
",2
18110,"loyalties L OY AH L T IY Z
",3
18111,"loyalty L OY AH L T IY
",22
18112,"lp EH L P IY
",2
18113,"ltd. L IH M IH T IH D
",5
18114,"lubbock L AH B AH K
",2
18115,"lubell L UW B EH L
",2
18116,"lublin L AH B L IH N
",15
18117,"lubricant L UW B R AH K AH N T
",2
18118,"lubricated L UW B R AH K EY T IH D
",1
18119,"lubrication L UW B R IH K EY SH AH N
",1
18120,"lucas L UW K AH S
",1
18121,"lucas's L UW K AH S IH Z
",1
18122,"lucia L UW SH AH
",8
18123,"lucian L UW SH AH N
",5
18124,"lucid L UW S AH D
",4
18125,"lucidity L UW S IH D IH T IY
",1
18126,"lucien L UW S IY AH N
",10
18127,"lucifer L UW S AH F ER
",3
18128,"lucille L UW S IY L
",13
18129,"lucius L UW SH AH S
",2
18130,"luck L AH K
",47
18131,"lucked L AH K T
",1
18132,"luckier L AH K IY ER
",1
18133,"luckily L AH K AH L IY
",3
18134,"lucks L AH K S
",1
18135,"lucky L AH K IY
",21
18136,"lucrative L UW K R AH T IH V
",3
18137,"lucretia L UW K R IY SH AH
",2
18138,"lucy L UW S IY
",45
18139,"lucy's L UW S IY Z
",1
18140,"ludicrous L UW D AH K R AH S
",3
18141,"ludlow L AH D L OW
",1
18142,"ludmilla L AH D M IH L AH
",1
18143,"ludwick L AH D W IH K
",1
18144,"ludwig L AH D W IH G
",3
18145,"lug L AH G
",2
18146,"luger L UW G ER
",1
18147,"luggage L AH G AH JH
",10
18148,"lui L UW IH
",1
18149,"luis L UW IY S
",9
18150,"luisa L UW IY Z AH
",1
18151,"luke L UW K
",3
18152,"luke's L UW K S
",2
18153,"lukewarm L UW K W AO R M
",5
18154,"lull L AH L
",2
18155,"lullaby L AH L AH B AY
",5
18156,"lulled L AH L D
",1
18157,"lulls L AH L Z
",1
18158,"lulu L UW L UW
",1
18159,"lumbar L AH M B AA R
",1
18160,"lumber L AH M B ER
",35
18161,"lumbering L AH M B ER IH NG
",2
18162,"lumen L UW M AH N
",2
18163,"lumia L UW M IY AH
",1
18164,"luminaries L UW M AH N EH R IY Z
",1
18165,"luminescence L UW M AH N EH S AH N S
",1
18166,"luminescent L UW M AH N EH S AH N T
",1
18167,"luminous L UW M AH N AH S
",12
18168,"lummus L AH M AH S
",1
18169,"lump L AH M P
",7
18170,"lumped L AH M P T
",2
18171,"lumps L AH M P S
",3
18172,"lumpy L AH M P IY
",2
18173,"lunar L UW N ER
",10
18174,"lunatic L UW N AH T IH K
",1
18175,"lunch L AH N CH
",33
18176,"luncheon L AH N CH AH N
",23
18177,"luncheons L AH N CH AH N Z
",2
18178,"lunchroom L AH N CH R UW M
",1
18179,"lunchtime L AH N CH T AY M
",2
18180,"lund L AH N D
",1
18181,"lundeen L AH N D IY N
",1
18182,"lundy L AH N D IY
",1
18183,"lung L AH NG
",16
18184,"lunge L AH N JH
",4
18185,"lunged L AH N JH D
",4
18186,"lungs L AH NG Z
",20
18187,"lura L UH R AH
",1
18188,"lurch L ER CH
",3
18189,"lurched L ER CH T
",5
18190,"lurching L ER CH IH NG
",2
18191,"lure L UH R
",7
18192,"lured L UH R D
",3
18193,"lurid L UH R AH D
",3
18194,"luring L UH R IH NG
",1
18195,"lurk L ER K
",1
18196,"lurked L ER K T
",3
18197,"lurking L ER K IH NG
",3
18198,"lurks L ER K S
",1
18199,"luscious L AH SH IH S
",2
18200,"lush L AH SH
",5
18201,"lusignan L AH S IH G N AH N
",1
18202,"lust L AH S T
",5
18203,"luster L AH S T ER
",2
18204,"lustful L AH S T F AH L
",1
18205,"lustre L AH S T ER
",2
18206,"lustrous L AH S T R AH S
",1
18207,"lusty L AH S T IY
",3
18208,"lute L UW T
",1
18209,"luther L UW TH ER
",5
18210,"lutheran L UW TH ER AH N
",3
18211,"luxuries L AH G ZH ER IY Z
",3
18212,"luxurious L AH G ZH ER IY AH S
",6
18213,"luxury L AH G ZH ER IY
",21
18214,"luzon L UW Z AA N
",1
18215,"lydia L IH D IY AH
",1
18216,"lyford L IH F ER D
",5
18217,"lying L AY IH NG
",36
18218,"lyle L AY L
",1
18219,"lyman L AY M AH N
",1
18220,"lymph L IH M F
",2
18221,"lymphocytes L IH M F AH S AY T S
",1
18222,"lymphoma L IH M F OW M AH
",1
18223,"lynched L IH N CH T
",1
18224,"lyndon L IH N D AH N
",3
18225,"lynn L IH N
",5
18226,"lyon L AY AH N
",3
18227,"lyric L IH R IH K
",12
18228,"lyrical L IH R IH K AH L
",7
18229,"lyricism L IH R IH S IH Z AH M
",2
18230,"lyricist L IH R IH S IH S T
",2
18231,"lyricists L IH R IH S IH S T S
",2
18232,"lyrics L IH R IH K S
",15
18233,"m EH M
",16
18234,"m. EH M
",62
18235,"m.'s EH M Z
",1
18236,"m.d. EH M D IY
",1
18237,"ma M AA
",19
18238,"ma'am M AE M
",5
18239,"mac M AE K
",1
18240,"macabre M AH K AA B R AH
",2
18241,"macarthur M AH K AA R TH ER
",2
18242,"macaulay M AH K AO L IY
",1
18243,"macbeth M AH K B EH TH
",6
18244,"macdonald M AH K D AA N AH L D
",2
18245,"macdonald's M AH K D AA N AH L D Z
",1
18246,"machado M AH CH AA D OW
",1
18247,"machiavelli M AA K IY AH V EH L IY
",1
18248,"machine M AH SH IY N
",103
18249,"machinegun M AH SH IY N G AH N
",1
18250,"machinery M AH SH IY N ER IY
",60
18251,"machines M AH SH IY N Z
",54
18252,"machinist M AH SH IY N AH S T
",5
18253,"machinists M AH SH IY N IH S T S
",2
18254,"machinists' M AH SH IY N IH S T S
",1
18255,"macintosh M AE K AH N T AO SH
",1
18256,"mack M AE K
",1
18257,"mack's M AE K S
",2
18258,"mackerel M AE K ER AH L
",2
18259,"mackey M AE K IY
",3
18260,"mackinaw M AE K AH N AO
",1
18261,"mackintosh M AE K AH N T AA SH
",1
18262,"macklin M AE K L IH N
",8
18263,"macklin's M AE K L IH N Z
",1
18264,"maclean M AH K L EY N
",1
18265,"macmillan M AH K M IH L AH N
",1
18266,"macon M EY K AH N
",4
18267,"macphail M AH K F EY L
",1
18268,"macpherson M AH K F ER S AH N
",3
18269,"macrophages M AE K R OW F EY JH IH Z
",1
18270,"mad M AE D
",39
18271,"madagascar M AE D AH G AE S K ER
",1
18272,"madam M AE D AH M
",2
18273,"madame M AE D AH M
",15
18274,"maddalena M AA D AA L EH N AH
",1
18275,"madden M AE D AH N
",18
18276,"maddening M AE D AH N IH NG
",2
18277,"madding M AE D IH NG
",1
18278,"made M EY D
",1125
18279,"madeira M AH D IH R AH
",1
18280,"madeleine M AE D AH L EH N
",3
18281,"mademoiselle M AE D AH M AH Z EH L
",1
18282,"madhouse M AE D HH AW S
",1
18283,"madison M AE D AH S AH N
",23
18284,"madison's M AE D AH S AH N Z
",1
18285,"madly M AE D L IY
",4
18286,"madman M AE D M AE N
",2
18287,"madmen M AE D M AH N
",3
18288,"madness M AE D N AH S
",2
18289,"madonna M AH D AA N AH
",3
18290,"madonna's M AH D AA N AH Z
",1
18291,"madrid M AH D R IH D
",1
18292,"madrigal M AE D R AH G AH L
",5
18293,"madrigals M AE D R AH G AH L Z
",3
18294,"madstones M AE D S T OW N Z
",1
18295,"mae M EY
",16
18296,"mae's M EY Z
",1
18297,"maelstrom M EY L S T R AH M
",1
18298,"maestro M AY S T R OW
",4
18299,"mag M AE G
",1
18300,"magazine M AE G AH Z IY N
",39
18301,"magazine's M AE G AH Z IY N Z
",1
18302,"magazines M AE G AH Z IY N Z
",25
18303,"magdalene M AE G D AH L IY N
",3
18304,"magee M AH G IY
",1
18305,"magenta M AH JH EH N T AH
",2
18306,"maggie M AE G IY
",23
18307,"maggie's M AE G IY Z
",3
18308,"maggots M AE G AH T S
",2
18309,"magi M EY JH AY
",1
18310,"magic M AE JH IH K
",37
18311,"magical M AE JH IH K AH L
",12
18312,"magically M AE JH IH K AH L IY
",3
18313,"magician M AH JH IH SH AH N
",4
18314,"magicians M AH JH IH SH AH N Z
",1
18315,"magistrate M AE JH AH S T R EY T
",3
18316,"magistrates M AE JH IH S T R EY T S
",3
18317,"magnate M AE G N AH T
",1
18318,"magnates M AE G N EY T S
",1
18319,"magnet M AE G N AH T
",3
18320,"magnetic M AE G N EH T IH K
",25
18321,"magnetically M AE G N EH T IH K AH L IY
",1
18322,"magnetism M AE G N AH T IH Z AH M
",8
18323,"magnetized M AE G N IH T AY Z D
",2
18324,"magnification M AE G N AH F AH K EY SH AH N
",10
18325,"magnificent M AE G N IH F AH S AH N T
",27
18326,"magnificently M AE G N IH F AH S AH N T L IY
",7
18327,"magnified M AE G N AH F AY D
",6
18328,"magnifies M AE G N AH F AY Z
",1
18329,"magnifying M AE G N AH F AY IH NG
",3
18330,"magnitude M AE G N AH T UW D
",29
18331,"magnitudes M AE G N AH T UW D Z
",1
18332,"magnolia M AE G N OW L Y AH
",1
18333,"magnum M AE G N AH M
",11
18334,"magpie M AE G P AY
",1
18335,"magpies M AE G P AY Z
",2
18336,"maguire M AH G W AY R
",5
18337,"mah M AA
",2
18338,"mahayana M AA HH AH Y AA N AH
",11
18339,"mahler M AA L ER
",3
18340,"mahler's M AA L ER Z
",4
18341,"mahmoud M AE M UW D
",2
18342,"mahogany M AH HH AA G AH N IY
",8
18343,"mahone M AE HH AH N
",1
18344,"mai M AY
",1
18345,"maid M EY D
",31
18346,"maid's M EY D Z
",1
18347,"maiden M EY D AH N
",2
18348,"maidens M EY D AH N Z
",2
18349,"maids M EY D Z
",12
18350,"maier M EY ER
",1
18351,"mail M EY L
",47
18352,"mailbox M EY L B AA K S
",1
18353,"mailboxes M EY L B AA K S IH Z
",4
18354,"mailed M EY L D
",16
18355,"mailer M EY L ER
",2
18356,"mailing M EY L IH NG
",8
18357,"mailings M EY L IH NG Z
",3
18358,"mailman M EY L M AE N
",1
18359,"mails M EY L Z
",7
18360,"maimed M EY M D
",1
18361,"main M EY N
",119
18362,"maine M EY N
",9
18363,"mainland M EY N L AE N D
",11
18364,"mainly M EY N L IY
",31
18365,"mains M EY N Z
",1
18366,"mainstream M EY N S T R IY M
",2
18367,"maintain M EY N T EY N
",60
18368,"maintained M EY N T EY N D
",48
18369,"maintaining M EY N T EY N IH NG
",28
18370,"maintains M EY N T EY N Z
",16
18371,"maintenance M EY N T AH N AH N S
",64
18372,"mais M EY S
",3
18373,"maitland M EY T L AH N D
",1
18374,"maitre M EY T R AH
",1
18375,"majestic M AH JH EH S T IH K
",10
18376,"majestically M AH JH EH S T IH K AH L IY
",1
18377,"majesty M AE JH AH S T IY
",1
18378,"majesty's M AE JH AH S T IY Z
",1
18379,"major M EY JH ER
",247
18380,"majored M EY JH ER D
",1
18381,"majorities M AH JH AO R IH T IY Z
",3
18382,"majority M AH JH AO R AH T IY
",57
18383,"majors M EY JH ER Z
",3
18384,"make M EY K
",794
18385,"make-up M EY K AH P
",5
18386,"makepeace M AE K P IY S
",1
18387,"maker M EY K ER
",12
18388,"makers M EY K ER Z
",19
18389,"makes M EY K S
",172
18390,"makeshift M EY K SH IH F T
",6
18391,"makeup M EY K AH P
",1
18392,"making M EY K IH NG
",255
18393,"makings M EY K IH NG Z
",4
18394,"mal M AE L
",1
18395,"maladies M AE L AH D IY Z
",2
18396,"maladjusted M AE L AH JH AH S T IH D
",3
18397,"maladroit M AE L AH D R OY T
",1
18398,"malady M AE L AH D IY
",1
18399,"malaise M AE L EY Z
",9
18400,"malamud M AE L AH M AH D
",1
18401,"malaria M AH L EH R IY AH
",3
18402,"malay M EY L EY
",1
18403,"malcolm M AE L K AH M
",3
18404,"malden M AO L D AH N
",1
18405,"male M EY L
",37
18406,"males M EY L Z
",19
18407,"malevolent M AH L EH V AH L AH N T
",2
18408,"malformations M AE L F AO R M EY SH AH N Z
",1
18409,"malformed M AE L F AO R M D
",4
18410,"malfunctioning M AE L F AH NG K SH AH N IH NG
",1
18411,"mali M AA L IY
",1
18412,"malia M AA L IY AH
",1
18413,"malice M AE L AH S
",2
18414,"malicious M AH L IH SH AH S
",2
18415,"maliciously M AH L IH SH IH S L IY
",1
18416,"malign M AH L AY N
",1
18417,"malignancies M AH L IH G N AH N S IY Z
",1
18418,"malignancy M AH L IH G N AH N S IY
",1
18419,"maligned M AH L AY N D
",2
18420,"mall M AO L
",3
18421,"malleable M AE L IY AH B AH L
",1
18422,"mallinckrodt M AE L IH NG K R AA T
",1
18423,"mallory M AE L ER IY
",1
18424,"malnourished M AE L N ER IH SH T
",1
18425,"malnutrition M AE L N UW T R IH SH AH N
",4
18426,"malone M AH L OW N
",1
18427,"malt M AO L T
",1
18428,"malta M AO L T AH
",3
18429,"malted M AO L T AH D
",1
18430,"maltese M AO L T IY Z
",3
